id,question,answer_gold_similarity,quality_label,correct_threshold,partial_threshold,unsupported_sentence_ratio,supported_threshold,unsupported_sentences,total_sentences
1,Šta je neuronska mreža?,0.731,correct,0.7,0.55,1.0,0.65,3,3
2,What is overfitting in machine learning?,0.8046,correct,0.7,0.55,0.6667,0.65,2,3
3,Šta znači RAG u kontekstu LLM sistema?,0.8199,correct,0.7,0.55,1.0,0.65,2,2
4,What is an embedding in NLP?,0.791,correct,0.7,0.55,0.0,0.65,0,2
5,Šta je halucinacija u LLM modelima?,0.4879,incorrect,0.7,0.55,1.0,0.65,3,3
6,What is FAISS?,0.7142,correct,0.7,0.55,0.0,0.65,0,2
7,Šta je cosine similarity?,0.4802,incorrect,0.7,0.55,0.5,0.65,1,2
8,What is a vector database?,0.7809,correct,0.7,0.55,0.0,0.65,0,3
9,Šta je algoritam?,0.5485,incorrect,0.7,0.55,0.3333,0.65,1,3
10,What is Big O notation?,0.8941,correct,0.7,0.55,0.3333,0.65,1,3
11,Šta je Newtonov drugi zakon?,0.7389,correct,0.7,0.55,1.0,0.65,2,2
12,What is the derivative of x^2?,0.92,correct,0.7,0.55,0.0,0.65,0,1
13,Šta je integral?,0.694,partial,0.7,0.55,0.25,0.65,1,4
14,What is SQL?,0.5287,incorrect,0.7,0.55,0.8571,0.65,6,7
15,Šta je primarni ključ u bazi podataka?,0.6881,partial,0.7,0.55,0.3333,0.65,1,3
16,What is precision in classification?,0.7847,correct,0.7,0.55,1.0,0.65,3,3
17,Šta je recall u klasifikaciji?,0.6043,partial,0.7,0.55,1.0,0.65,4,4
18,What is F1-score?,0.8338,correct,0.7,0.55,0.5,0.65,1,2
19,Šta je operativni sistem?,0.7537,correct,0.7,0.55,0.0,0.65,0,3
20,What is RAM memory?,0.7183,correct,0.7,0.55,0.6667,0.65,6,9
21,Explain the difference between supervised and unsupervised learning.,0.8395,correct,0.7,0.55,0.625,0.65,5,8
22,Šta je gradijentni spust i čemu služi?,0.6657,partial,0.7,0.55,1.0,0.65,4,4
23,What is the purpose of attention mechanism in transformers?,0.6975,partial,0.7,0.55,0.6667,0.65,2,3
24,Šta je Bayesova teorema?,0.3378,incorrect,0.7,0.55,0.5,0.65,1,2
25,What is the time complexity of binary search?,0.9117,correct,0.7,0.55,0.5,0.65,1,2
26,Objasni razliku između TCP i UDP protokola.,0.7411,correct,0.7,0.55,0.7857,0.65,11,14
27,What is the fundamental theorem of calculus?,0.7993,correct,0.7,0.55,0.6,0.65,3,5
28,Šta je normalizacija baze podataka?,0.6481,partial,0.7,0.55,0.0,0.65,0,4
29,What is cross-entropy loss?,0.7471,correct,0.7,0.55,0.6,0.65,3,5
30,Šta je entropija u teoriji informacija?,0.4082,incorrect,0.7,0.55,0.8571,0.65,6,7
31,In which year was the Transformer architecture introduced?,0.8287,correct,0.7,0.55,0.0,0.65,0,1
32,Šta predstavlja zakon očuvanja energije?,0.5641,partial,0.7,0.55,0.6667,0.65,2,3
33,What is the difference between precision and recall?,0.6108,partial,0.7,0.55,0.6,0.65,6,10
34,Šta je hash funkcija?,0.6273,partial,0.7,0.55,1.0,0.65,3,3
35,What is the Pythagorean theorem?,0.8698,correct,0.7,0.55,0.0,0.65,0,2
36,Which company developed FAISS?,0.412,incorrect,0.7,0.55,0.0,0.65,0,1
37,Šta je latentni prostor u dubokom učenju?,0.7722,correct,0.7,0.55,1.0,0.65,2,2
38,What does GPU stand for?,0.958,correct,0.7,0.55,0.0,0.65,0,2
39,Šta je diferencijalna jednačina?,0.6099,partial,0.7,0.55,0.6667,0.65,2,3
40,What is the speed of light in vacuum?,0.9767,correct,0.7,0.55,0.0,0.65,0,1
41,Who invented the Python programming language?,0.8784,correct,0.7,0.55,0.0,0.65,0,1
42,Šta je matrica?,0.4597,incorrect,0.7,0.55,0.0,0.65,0,3
43,What is the difference between AI and machine learning?,0.8454,correct,0.7,0.55,0.0,0.65,0,3
44,Šta je logaritamska funkcija?,0.6224,partial,0.7,0.55,1.0,0.65,2,2
45,What is quantum computing?,0.8442,correct,0.7,0.55,0.0,0.65,0,2
46,Šta je diferencija između IPv4 i IPv6?,0.6991,partial,0.7,0.55,0.5625,0.65,9,16
47,What is backpropagation?,0.8777,correct,0.7,0.55,0.3333,0.65,1,3
48,Šta je heuristika?,0.7049,correct,0.7,0.55,1.0,0.65,4,4
49,What is the difference between RAM and ROM?,0.8542,correct,0.7,0.55,0.4,0.65,2,5
50,Šta je LLM (Large Language Model)?,0.4881,incorrect,0.7,0.55,0.0,0.65,0,1
